Date,Participant ID,Canvas ID,Start Time of Interaction,Interaction Duration
11/19/2024,Douglas,Tutorial Canvas,21:32:23:967,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:24:406,0m 0s 485ms
11/19/2024,Douglas,Tutorial Canvas,21:32:24:976,0m 0s 42ms
11/19/2024,Douglas,Tutorial Canvas,21:32:25:019,0m 0s 42ms
11/19/2024,Douglas,Tutorial Canvas,21:32:25:890,0m 1s 92ms
11/19/2024,Douglas,Tutorial Canvas,21:32:27:477,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:27:478,0m 0s 348ms
11/19/2024,Douglas,Tutorial Canvas,21:32:28:084,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:28:084,0m 0s 371ms
11/19/2024,Douglas,Tutorial Canvas,21:32:28:693,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:28:693,0m 0s 118ms
11/19/2024,Douglas,Tutorial Canvas,21:32:28:891,0m 0s 99ms
11/19/2024,Douglas,Tutorial Canvas,21:32:29:010,0m 0s 179ms
11/19/2024,Douglas,Tutorial Canvas,21:32:29:489,0m 0s 201ms
11/19/2024,Douglas,Tutorial Canvas,21:32:29:711,0m 0s 181ms
11/19/2024,Douglas,Tutorial Canvas,21:32:29:892,0m 14s 410ms
11/19/2024,Douglas,Tutorial Canvas,21:32:29:892,0m 17s 224ms
11/19/2024,Douglas,Tutorial Canvas,21:32:47:550,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:47:550,0m 0s 636ms
11/19/2024,Douglas,Tutorial Canvas,21:32:48:925,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:48:925,0m 0s 261ms
11/19/2024,Douglas,Tutorial Canvas,21:32:49:991,0m 0s 0ms
11/19/2024,Douglas,Tutorial Canvas,21:32:49:991,0m 2s 789ms
